"Species","Long","Lat","dtb"
"P_oph",-84.22142857,9.792857143,"dig_lit"
"P_oph",-92.34686,14.694986,"dig_lit"
"P_oph",-91.89788,14.3139,"dig_lit"
"P_oph",-84.84141,11.27431,"dig_lit"
"P_oph",-88.85,13.33333333,"dig_lit"
"P_oph",-89.05833333,14.84166667,"dig_lit"
"P_oph",-87.10227,13.76699,"dig_lit"
"P_oph",-87.24222222,13.73027778,"dig_lit"
"P_oph",-84.45,14.71666667,"dig_lit"
"P_oph",-85.5852255,10.931033,"dig_lit"
"P_oph",-85.73221,10.90031,"dig_lit"
"P_oph",-85.61985,10.84112,"dig_lit"
"P_oph",-87.63666667,12.94166667,"dig_lit"
"P_oph",-86.57125,12.44376944,"dig_lit"
"P_oph",-85.7643682,10.4801988,"dig_lit"
"P_oph",-89.46683333,14.26741667,"dig_lit"
